2026-06-18 12:57:22 | INFO     | statistics_analyzer | Identified 4 numeric columns: ['Quantity', 'UnitPrice', 'ItemsInCart', 'TotalPrice']
2026-06-18 12:57:22 | INFO     | statistics_analyzer | Running descriptive statistics on 4 columns...
2026-06-18 12:57:22 | INFO     | statistics_analyzer | Descriptive statistics analysis complete
2026-06-18 12:57:22 | INFO     | statistics_analyzer | Descriptive statistics saved to: E:\DecodeLabs_Internship\application\backend\reports\eda\descriptive_statistics.csv
2026-06-18 12:57:22 | INFO     | eda_pipeline    | [EDA] Step 'Descriptive Statistics' completed - Statistics saved to reports/eda/descriptive_statistics.csv
2026-06-18 12:57:22 | INFO     | eda_pipeline    | [EDA] Step 'Distribution Analysis' started
2026-06-18 12:57:22 | INFO     | distribution_analyzer | Analyzing distributions for 4 columns...
2026-06-18 12:57:22 | INFO     | distribution_analyzer | Distribution plot saved for 'Quantity': E:\DecodeLabs_Internship\application\backend\visualizations\distributions\Quantity_distribution.png
2026-06-18 12:57:23 | INFO     | distribution_analyzer | Distribution plot saved for 'UnitPrice': E:\DecodeLabs_Internship\application\backend\visualizations\distributions\UnitPrice_distribution.png
2026-06-18 12:57:23 | INFO     | distribution_analyzer | Distribution plot saved for 'ItemsInCart': E:\DecodeLabs_Internship\application\backend\visualizations\distributions\ItemsInCart_distribution.png
2026-06-18 12:57:24 | INFO     | distribution_analyzer | Distribution plot saved for 'TotalPrice': E:\DecodeLabs_Internship\application\backend\visualizations\distributions\TotalPrice_distribution.png
2026-06-18 12:57:24 | INFO     | distribution_analyzer | Distribution analysis complete. Generated 4 plots
2026-06-18 12:57:24 | INFO     | eda_pipeline    | [EDA] Step 'Distribution Analysis' completed - Generated 4 distribution plots
2026-06-18 12:57:24 | INFO     | eda_pipeline    | [EDA] Step 'Outlier Detection' started
2026-06-18 12:57:24 | INFO     | outlier_detector | Running outlier detection on 4 columns...
2026-06-18 12:57:24 | INFO     | outlier_detector | Outlier boxplot saved for 'Quantity': E:\DecodeLabs_Internship\application\backend\visualizations\outliers\Quantity_outliers.png
2026-06-18 12:57:25 | INFO     | outlier_detector | Outlier boxplot saved for 'UnitPrice': E:\DecodeLabs_Internship\application\backend\visualizations\outliers\UnitPrice_outliers.png
2026-06-18 12:57:25 | INFO     | outlier_detector | Outlier boxplot saved for 'ItemsInCart': E:\DecodeLabs_Internship\application\backend\visualizations\outliers\ItemsInCart_outliers.png
